Coordinates,Zip_codes
"50.12380770362601, 8.6657130718231",60323
"50.115535487755004, 8.6987847089767",60316
"50.111947550177, 8.6541259288788",60308
"50.11026614943089, 8.59521925449371",65933
"50.107175830321, 8.6726224422455",60329
"50.096199414412574, 8.660890460014341",60528
"50.100153278472995, 8.668330907821701",60596
"50.101944444444456, 8.618333333333334",60326
"50.136094722401, 8.6641359329224",60320
"50.11858313149894, 8.651888966560362",60325
"50.131342602833, 8.705420494079599",60389
"50.106081742474004, 8.7208485603333",63067
"50.080721492707994, 8.636434078216599",60528
"50.10527777777778, 8.686111111111114",60594
"50.12227031468465, 8.638590574264526",60486
"50.10496354510951, 8.666785955429077",60329
"50.116980218906, 8.6291062831879",60486
"50.10689714994, 8.7412869930267",63067
"50.097376316674, 8.664962053299",60596
"50.116010189940994, 8.6955177783966",60316
"50.109339848711, 8.696596026420599",60314
"50.13162801841518, 8.645811080932617",60487
"50.10689714993965, 8.741286993026732",63067
"50.130286894262206, 8.622432947158812",60488
"50.101918475339005, 8.6911082267761",60594
"50.133539915042, 8.6681270599365",60320
"50.129836405664996, 8.666442632675201",60323
"50.113591911605, 8.6963385343552",60316
"50.10240707584296, 8.675594329833983",60596
"50.12380770362643, 8.66571307182312",60323
"50.163343240901014, 8.636026382446289",60439
"50.122270314685004, 8.6385905742645",60486
"50.11433495180178, 8.618189692497253",60486
"50.11433495180199, 8.6181896924973",60486
"50.12041987951733, 8.676543831825256",60322
"50.102407075843, 8.675594329834",60596
"50.110698760992356, 8.701171874999998",60314
"50.114173272740366, 8.669677376747131",60325
"50.09619941441301, 8.6608904600143",60528
"50.091680804729, 8.653256893158",60528
"50.118583131499, 8.651888966560401",60325
"50.130981532489955, 8.669881224632263",60323
"50.13754570971569, 8.666925430297853",60320
"50.130981532490004, 8.6698812246323",60323
"50.123711403308, 8.671018481254599",60322
"50.163740000000004, 8.65376",60433
"50.110266149431, 8.595219254493701",65933
"50.129107361699496, 8.662183284759521",60323
"50.13416666666666, 8.76888888888889",60386
"50.131628018415, 8.6458110809326",60487
"50.094127720904, 8.660852909088101",60528
"50.120419879517, 8.676543831825299",60322
"50.09467, 8.66447",60528
"50.105277777778, 8.6861111111111",60594
"50.12905233906265, 8.675637245178223",60322
"50.16298928502415, 8.63649845123291",60439
"50.09179, 8.66099",60528
"50.132897, 8.575262",65760
"50.129107361699, 8.6621832847595",60323
"50.162989285024004, 8.636498451232901",60439
"50.1106444, 8.682091699999999",60311
"50.1125, 8.538055555555555",65929
"50.1109815, 8.684862033",60311
"50.129052339062994, 8.6756372451782",60322
"50.12836207, 8.692993583",60316
"50.12914555, 8.691646617",60318
"50.10561878, 8.668171133",60329
"50.115555555556, 8.6825",60313
"50.10789953, 8.702513467000001",60314
"50.109612, 8.710316233",60314
"50.109333500000005, 8.6668595",60329
"50.10941932, 8.684196533",60311
